|FPS|: 487
['19'] : 67040
['37'] : 67042
['55'] : 67044
['72'] : 66041
['75'] : 67245
['88'] : 66928
['91'] : 67473
['106'] : 66819
['109'] : 67469
['124'] : 66710
['127'] : 67465
['19', '37'] : 66525
['19', '55'] : 66527
['19', '75'] : 66728
['19', '88'] : 66411
['19', '91'] : 66956
['19', '106'] : 66302
['19', '109'] : 66952
['19', '124'] : 66193
['19', '127'] : 66948
['37', '55'] : 66529
['37', '75'] : 66730
['37', '88'] : 66413
['37', '91'] : 66958
['37', '106'] : 66304
['37', '109'] : 66954
['37', '124'] : 66195
['37', '127'] : 66950
['55', '75'] : 66732
['55', '88'] : 66415
['55', '91'] : 66960
['55', '106'] : 66306
['55', '109'] : 66956
['55', '124'] : 66197
['55', '127'] : 66952
['72', '75'] : 66041
['72', '91'] : 65957
['72', '109'] : 65953
['72', '127'] : 65949
['75', '88'] : 66616
['75', '91'] : 67161
['75', '106'] : 66507
['75', '109'] : 67157
['75', '124'] : 66398
['75', '127'] : 67153
['88', '91'] : 66928
['88', '106'] : 66190
['88', '109'] : 66840
['88', '124'] : 66081
['88', '127'] : 66836
['91', '106'] : 66735
['91', '109'] : 67385
['91', '124'] : 66626
['91', '127'] : 67381
['106', '109'] : 66819
['106', '124'] : 65972
['106', '127'] : 66727
['109', '124'] : 66622
['109', '127'] : 67377
['124', '127'] : 66710
['19', '37', '55'] : 66012
['19', '37', '75'] : 66213
['19', '37', '88'] : 65896
['19', '37', '91'] : 66441
['19', '37', '106'] : 65787
['19', '37', '109'] : 66437
['19', '37', '124'] : 65678
['19', '37', '127'] : 66433
['19', '55', '75'] : 66215
['19', '55', '88'] : 65898
['19', '55', '91'] : 66443
['19', '55', '106'] : 65789
['19', '55', '109'] : 66439
['19', '55', '124'] : 65680
['19', '55', '127'] : 66435
['19', '75', '88'] : 66099
['19', '75', '91'] : 66644
['19', '75', '106'] : 65990
['19', '75', '109'] : 66640
['19', '75', '124'] : 65881
['19', '75', '127'] : 66636
['19', '88', '91'] : 66411
['19', '88', '106'] : 65673
['19', '88', '109'] : 66323
['19', '88', '124'] : 65564
['19', '88', '127'] : 66319
['19', '91', '106'] : 66218
['19', '91', '109'] : 66868
['19', '91', '124'] : 66109
['19', '91', '127'] : 66864
['19', '106', '109'] : 66302
['19', '106', '127'] : 66210
['19', '109', '124'] : 66105
['19', '109', '127'] : 66860
['19', '124', '127'] : 66193
['37', '55', '75'] : 66217
['37', '55', '88'] : 65900
['37', '55', '91'] : 66445
['37', '55', '106'] : 65791
['37', '55', '109'] : 66441
['37', '55', '124'] : 65682
['37', '55', '127'] : 66437
['37', '75', '88'] : 66101
['37', '75', '91'] : 66646
['37', '75', '106'] : 65992
['37', '75', '109'] : 66642
['37', '75', '124'] : 65883
['37', '75', '127'] : 66638
['37', '88', '91'] : 66413
['37', '88', '106'] : 65675
['37', '88', '109'] : 66325
['37', '88', '124'] : 65566
['37', '88', '127'] : 66321
['37', '91', '106'] : 66220
['37', '91', '109'] : 66870
['37', '91', '124'] : 66111
['37', '91', '127'] : 66866
['37', '106', '109'] : 66304
['37', '106', '127'] : 66212
['37', '109', '124'] : 66107
['37', '109', '127'] : 66862
['37', '124', '127'] : 66195
['55', '75', '91'] : 66648
['55', '75', '109'] : 66644
['55', '75', '127'] : 66640
['55', '75', '88'] : 66103
['55', '75', '106'] : 65994
['55', '75', '124'] : 65885
['55', '88', '91'] : 66415
['55', '88', '109'] : 66327
['55', '88', '127'] : 66323
['55', '88', '106'] : 65677
['55', '88', '124'] : 65568
['55', '91', '109'] : 66872
['55', '91', '127'] : 66868
['55', '91', '106'] : 66222
['55', '91', '124'] : 66113
['55', '106', '109'] : 66306
['55', '106', '127'] : 66214
['55', '109', '127'] : 66864
['55', '109', '124'] : 66109
['55', '124', '127'] : 66197
['72', '75', '91'] : 65957
['72', '75', '109'] : 65953
['72', '75', '127'] : 65949
['72', '91', '109'] : 65869
['72', '91', '127'] : 65865
['72', '109', '127'] : 65861
['75', '88', '91'] : 66616
['75', '88', '106'] : 65878
['75', '88', '109'] : 66528
['75', '88', '124'] : 65769
['75', '88', '127'] : 66524
['75', '91', '106'] : 66423
['75', '91', '109'] : 67073
['75', '91', '124'] : 66314
['75', '91', '127'] : 67069
['75', '106', '109'] : 66507
['75', '106', '124'] : 65660
['75', '106', '127'] : 66415
['75', '109', '124'] : 66310
['75', '109', '127'] : 67065
['75', '124', '127'] : 66398
['88', '91', '106'] : 66190
['88', '91', '109'] : 66840
['88', '91', '124'] : 66081
['88', '91', '127'] : 66836
['88', '106', '109'] : 66190
['88', '106', '127'] : 66098
['88', '109', '124'] : 65993
['88', '109', '127'] : 66748
['88', '124', '127'] : 66081
['91', '106', '109'] : 66735
['91', '106', '124'] : 65888
['91', '106', '127'] : 66643
['91', '109', '124'] : 66538
['91', '109', '127'] : 67293
['91', '124', '127'] : 66626
['106', '109', '124'] : 65972
['106', '109', '127'] : 66727
['106', '124', '127'] : 65972
['109', '124', '127'] : 66622
['19', '37', '55', '75'] : 65700
['19', '37', '55', '91'] : 65928
['19', '37', '55', '109'] : 65924
['19', '37', '55', '127'] : 65920
['19', '37', '75', '88'] : 65584
['19', '37', '75', '91'] : 66129
['19', '37', '75', '109'] : 66125
['19', '37', '75', '127'] : 66121
['19', '37', '88', '91'] : 65896
['19', '37', '88', '109'] : 65808
['19', '37', '88', '127'] : 65804
['19', '37', '91', '106'] : 65703
['19', '37', '91', '109'] : 66353
['19', '37', '91', '124'] : 65594
['19', '37', '91', '127'] : 66349
['19', '37', '106', '109'] : 65787
['19', '37', '106', '127'] : 65695
['19', '37', '109', '124'] : 65590
['19', '37', '109', '127'] : 66345
['19', '37', '124', '127'] : 65678
['19', '55', '75', '88'] : 65586
['19', '55', '75', '91'] : 66131
['19', '55', '75', '109'] : 66127
['19', '55', '75', '127'] : 66123
['19', '55', '88', '91'] : 65898
['19', '55', '88', '109'] : 65810
['19', '55', '88', '127'] : 65806
['19', '55', '91', '106'] : 65705
['19', '55', '91', '109'] : 66355
['19', '55', '91', '124'] : 65596
['19', '55', '91', '127'] : 66351
['19', '55', '106', '109'] : 65789
['19', '55', '106', '127'] : 65697
['19', '55', '109', '124'] : 65592
['19', '55', '109', '127'] : 66347
['19', '55', '124', '127'] : 65680
['19', '75', '88', '91'] : 66099
['19', '75', '88', '109'] : 66011
['19', '75', '88', '127'] : 66007
['19', '75', '91', '106'] : 65906
['19', '75', '91', '109'] : 66556
['19', '75', '91', '124'] : 65797
['19', '75', '91', '127'] : 66552
['19', '75', '106', '109'] : 65990
['19', '75', '106', '127'] : 65898
['19', '75', '109', '124'] : 65793
['19', '75', '109', '127'] : 66548
['19', '75', '124', '127'] : 65881
['19', '88', '91', '106'] : 65673
['19', '88', '91', '109'] : 66323
['19', '88', '91', '124'] : 65564
['19', '88', '91', '127'] : 66319
['19', '88', '106', '109'] : 65673
['19', '88', '106', '127'] : 65581
['19', '88', '109', '127'] : 66231
['19', '88', '124', '127'] : 65564
['19', '91', '106', '109'] : 66218
['19', '91', '106', '127'] : 66126
['19', '91', '109', '124'] : 66021
['19', '91', '109', '127'] : 66776
['19', '91', '124', '127'] : 66109
['19', '106', '109', '127'] : 66210
['19', '109', '124', '127'] : 66105
['37', '55', '75', '91'] : 66133
['37', '55', '75', '109'] : 66129
['37', '55', '75', '127'] : 66125
['37', '55', '75', '88'] : 65588
['37', '55', '88', '91'] : 65900
['37', '55', '88', '109'] : 65812
['37', '55', '88', '127'] : 65808
['37', '55', '91', '109'] : 66357
['37', '55', '91', '127'] : 66353
['37', '55', '91', '106'] : 65707
['37', '55', '91', '124'] : 65598
['37', '55', '106', '109'] : 65791
['37', '55', '106', '127'] : 65699
['37', '55', '109', '127'] : 66349
['37', '55', '109', '124'] : 65594
['37', '55', '124', '127'] : 65682
['37', '75', '88', '91'] : 66101
['37', '75', '88', '109'] : 66013
['37', '75', '88', '127'] : 66009
['37', '75', '91', '109'] : 66558
['37', '75', '91', '127'] : 66554
['37', '75', '91', '106'] : 65908
